Controle|Código|Produto|Fabricante|Preço Custo|Preço Venda|Lucro|Quantidade|Unidade|Obs|NCM|IPI|CST|ICMS|Base Cálculo|iva_st|cean|ceantrib
1|7898472256208|COLA TEK BOND 3X1 3G|ATB|2|3.8|90|5|UN||35061010|0|102|1.36|100|0|7898472256208|7898472256208
2|1|PARAFUSO PHILIPS 4,0X20||0.04|0.2|400|-3872|UN|17048671
|73181200|0|102|1.36|100|0||
5|7898173505971|TINTA SPRAY PRETO BRILHANTE RADCOLOR|RADCOLOR|8.9|15.5|74.16|6|UN||32082019|0|102|1.36|100|0|7898173505971|7898173505971
6|7898173505995|TINTA SPRAY BRANCO BRILHANTE RADCOLOR|RADCOLOR|8.9|15.5|74.16|-18|UN||32082019|0|102|1.36|100|0|7898173505995|7898173505995
7|7898523812605|SUPORTE VARAO MEDIO BCO MORETI         12|VAROES DAVID|3.8|6.5|71.05|-15|UN||39172900|0|102|1.36|100|0|7898523812605|7898523812605
8|7896202400037|RALINHO JAPONES GRANDE OVERTIME|OVERTIME|3.5|5.8|65.71|11|UN||96040000|0|500|1.36|100|0|7896202400037|7896202400037
9|7897381902749|PUXADOR DE PORTA ALÇA GRANDE MILL|SEU MILL|6.9|10.9|57.97|12|||83024200|0|102|1.36|100|0|7897381902749|7897381902749
10|7898089528002|DOBRADICA PORTEIRA 00 SAO ROMAO|SAO ROMAO|6.95|10.5|51.08|6|UN||83021000|0|500|1.36|100|0|7898089528002|7898089528002
11|7891710080420|JOGO DE SOQUETES E CHAVES 9 PÇ SAINT|SAINT PLUS|12|24|100|-4|UN||82042000|0|102|1.36|100|0||
12|7899105867075|CADEADO C/SEGREDO 25mm 3F|3F|14.9|23.9|60.4|0|PC||83011000|0|500|1.36|100|0|7899105867075|7899105867075
14|000184|MT AREIA MEDIA ITAQUAREIA||109|149|36.7|27|m3||25051000|0|500|1.36|100|0||
15|000185|MT PEDRA BRITA 1/2||77|140|81.82|108.5|||25171000|0|500|1.36|100|0||
16|2820451800602|1/2 METRO DE PEDRA  1/2||38.5|72|87.01|30|UN||25051000|0|500|1.36|100|0||
17|000187|CIMENTO TUPI CPII E-32 ENTREGA||26.1|35|34.1|25|SC||25232910|0|500|1.36|100|0||
18|000188|CIMENTO CPII -E- 32 50KG ENTREGA|TUPI|24.15|32|32.51|-972|SC||25232910|0|500|1.36|100|0||
20|7891200007929|DUREPOXI 50GRS LOCTITE|DUREPOX|3.8|6.9|81.58|14|UN||32141010|0|500|1.36|100|0|7891200007929|7891200007929
22|7896094501683|ULTRA BOND GARIN 20 GRAMAS|GARIN|5.7|12|110.53|6|UN||35061010|0|500|1.36|100|0|7896094501683|7896094501683
23|7899206164684|LAMPADA HALOGENA 75W/127V BESTFER|BESTFER|3.9|6|53.85|8|UN||85393100|0|500|1.36|100|0|7899206164684|7899206164684
24|7898094337156|LAMPADA P/GELADEIRA,FOGAO,LUST 40W 127V BRASFORT|BRASFORT|2.84|5.9|107.75|5|UN||85392200|0|500|1.36|100|0|7898094337156|7898094337156
27|7899956006746|LAMPADA LED 15W BRANCA LUZ SOLLAR|LUZ SOLLAR|13.8|22.5|63.04|-4|UN||85437099|0|102|1.36|100|0|7899956006746|7899956006746
28|7899956012327|LAMPADA LED 30W T100 6500K LUZ SOLAR|LUZ SOLAR|29.9|45.5|52.17|5|||85395000|0|500|1.36|100|0|7899956012327|7899956012327
29|7898120693973|SUPORTE TV HAYNER UNIVERSAL|HAYNER|12.5|25.5|104|-2|UN||73063000|0|500|1.36|100|0|7898120693973|7898120693973
30|7897079052732|PLAFON TASCHIBRA BRANCO|TASCHIBRA|3.76|6.5|72.87|24|UN||85366100|0|500|1.36|100|0|7897079052732|7897079052732
32|7898290210031|MASSA PLASTICA 400g BRANCA - RETOQUE|RETOQUE|5.8|12.8|120.69|-2|UN||35069190|0|500|1.36|100|0|7898290210031|7898290210031
33|7899206158492|RATOEIRA ADESIVA BFH1286/5849|BESTFER|2.5|5.5|120|8|UN||73262000|0|102|1.36|100|0|7899206158492|7899206158492
34|7897801300681|COLA PVC KRONA 75GR BISNAGA|KRONA|3.28|7.5|128.66|14|UN||35069110|0|500|1.36|100|0|7897801300681|7897801300681
35|7897176400016|AGUARRAZ SOLVENTE NATRIELLI 900 ML|NATRIELLI|10.95|16.8|53.42|2|UN||38140000|0|500|1.36|100|0|7897176400016|7897176400016
36|7891960180054|COLA PVC 175G C/PINCEL AMANCO|AMANCO|11|26.8|143.64|4|UN||35061090|0|500|1.36|100|0|7891960180054|7891960180054
37|7891960874694|COLA PVC AMANCO 75 GRAMAS BISNAGA|AMANCO|4.4|9.5|115.91|-18|un||35061090|0|500|1.36|100|0|7891960874694|7891960874694
40|7896038105076|COLA MADEIRA PULVITEC 100 G|PULVITEC|3.89|5.9|51.67|4|UN||35061010|0|500|1.36|100|0|7896038105076|7896038105076
41|7891200009817|CASCOLA  ADESIVO DE CONTATO 230ML /195G|cascola|12.52|19.9|58.95|3|pc||35069110|0|500|1.36|100|0|7891200009817|7891200009817
43|7898315310012|GRAFITE EM PO 25G EMAVI|Emavi|2.3|3.8|65.22|2|UN||84798999|0|102|1.36|100|0|7898315310012|7898315310012
45|7896094592896|OLEO MULTIUSO 100ML|GARIN|3.2|5.9|84.37|7|UN||27101932|0|500|1.36|100|0|7896094592896|7896094592896
46|7897176400849|QUEROSENE NATRIELLI 900ml|NATRIELLI|13.28|19.9|49.85|4|UN||27101919|0|500|1.36|100|0|7897176400849|7897176400849
48|7896094502376|VEDACALHA VEDAG 400GR CINZA GARIN#|GARIN|8.8|18.8|113.64|5|UN||35069900|0|500|1.36|100|0|7896094502376|7896094502376
49|7894174238221|VEDA CALHA 280G QUARTZOLIT|WEBER|8.7|15|72.41|8|PC||35061090|0|500|1.36|100|0|7894174238221|7894174238221
